CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
1204,566153216000,0,0,2023-03-28 08:12:32 +0000 UTC,13825,true,slam-9002-k8s-as1
1199,585519104000,0,0,2023-03-28 08:12:58 +0000 UTC,13691,true,slam-9002-k8s-as1
1200,602644480000,0,0,2023-03-28 08:13:37 +0000 UTC,19386,true,slam-9002-k8s-as1
1200,607162368000,0,0,2023-03-28 08:13:52 +0000 UTC,14603,true,slam-9002-k8s-as1
1201,618463232000,0,0,2023-03-28 08:14:16 +0000 UTC,10984,true,slam-9002-k8s-as1
0,0,0,0,Task has been ended,0,false,
1185,550621184000,0,0,2023-03-28 08:12:18 +0000 UTC,8594,true,slam-9002-k8s-as1
1197,577544192000,0,0,2023-03-28 08:12:45 +0000 UTC,12532,true,slam-9002-k8s-as1
1195,594120704000,0,0,2023-03-28 08:13:18 +0000 UTC,19375,true,slam-9002-k8s-as1
1204,615243776000,0,0,2023-03-28 08:14:05 +0000 UTC,13045,true,slam-9002-k8s-as1
