CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1067,577216512000,0,0,2023-03-28 08:18:32 +0000 UTC,1874,true,slam-9004-controller
1397,636211200000,0,0,2023-03-28 08:19:06 +0000 UTC,17087,true,slam-9004-controller
1395,657784832000,0,0,2023-03-28 08:19:38 +0000 UTC,16960,true,slam-9004-controller
1398,670924800000,0,0,2023-03-28 08:20:06 +0000 UTC,13348,true,slam-9004-controller
1404,676368384000,0,0,2023-03-28 08:20:18 +0000 UTC,12729,true,slam-9004-controller
1391,685105152000,0,0,2023-03-28 08:20:35 +0000 UTC,16116,true,slam-9004-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
600,362270720000,0,0,2023-03-28 08:18:30 +0000 UTC,9982,true,slam-9004-controller
1398,618106880000,0,0,2023-03-28 08:18:49 +0000 UTC,17684,true,slam-9004-controller
1395,648007680000,0,0,2023-03-28 08:19:21 +0000 UTC,14808,true,slam-9004-controller
1395,664174592000,0,0,2023-03-28 08:19:52 +0000 UTC,14099,true,slam-9004-controller
1405,690520064000,0,0,2023-03-28 08:20:46 +0000 UTC,11196,true,slam-9004-controller
