CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1103,590798848000,0,0,2023-03-28 08:10:34 +0000 UTC,16516,true,slam-9001-k8s-as1
1100,599248896000,0,0,2023-03-28 08:11:02 +0000 UTC,16763,true,slam-9001-k8s-as1
882,541007872000,0,0,2023-03-28 08:09:30 +0000 UTC,10013,true,slam-9001-k8s-as1
1172,541175808000,0,0,2023-03-28 08:09:31 +0000 UTC,843,true,slam-9001-k8s-as1
1098,559362048000,0,0,2023-03-28 08:09:46 +0000 UTC,14826,true,slam-9001-k8s-as1
1101,574672896000,0,0,2023-03-28 08:10:03 +0000 UTC,17156,true,slam-9001-k8s-as1
1100,604905472000,0,0,2023-03-28 08:11:24 +0000 UTC,10096,true,slam-9001-k8s-as1
1095,611536896000,0,0,2023-03-28 08:11:40 +0000 UTC,15215,true,slam-9001-k8s-as1
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1095,584716288000,0,0,2023-03-28 08:10:18 +0000 UTC,15190,true,slam-9001-k8s-as1
1098,593858560000,0,0,2023-03-28 08:10:45 +0000 UTC,10726,true,slam-9001-k8s-as1
1098,602124288000,0,0,2023-03-28 08:11:14 +0000 UTC,12514,true,slam-9001-k8s-as1
