CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
2300,667811840000,0,0,2023-03-28 08:38:33 +0000 UTC,11196,true,slam-9013-controller
2303,680095744000,0,0,2023-03-28 08:38:52 +0000 UTC,19327,true,slam-9013-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
770,495321088000,0,0,2023-03-28 08:37:50 +0000 UTC,9989,true,slam-9013-controller
2319,597233664000,0,0,2023-03-28 08:37:52 +0000 UTC,2183,true,slam-9013-controller
2292,636641280000,0,0,2023-03-28 08:38:06 +0000 UTC,14140,true,slam-9013-controller
2299,657199104000,0,0,2023-03-28 08:38:22 +0000 UTC,15396,true,slam-9013-controller
