CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1897,677953536000,0,0,2023-03-28 08:31:23 +0000 UTC,13229,true,slam-9009-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1731,621965312000,0,0,2023-03-28 08:30:23 +0000 UTC,14050,true,slam-9009-controller
1899,649101312000,0,0,2023-03-28 08:30:42 +0000 UTC,19101,true,slam-9009-controller
1902,687730688000,0,0,2023-03-28 08:31:36 +0000 UTC,12890,true,slam-9009-controller
1891,698097664000,0,0,2023-03-28 08:31:47 +0000 UTC,10923,true,slam-9009-controller
647,326590464000,0,0,2023-03-28 08:30:09 +0000 UTC,8811,true,slam-9009-controller
1900,663965696000,0,0,2023-03-28 08:30:56 +0000 UTC,13932,true,slam-9009-controller
1897,672116736000,0,0,2023-03-28 08:31:10 +0000 UTC,14215,true,slam-9009-controller
