1323 6 60 13 1308 468
120 6 112 10 37 397
129 19 108 13 46 376
93 7 84 15 48 486
116 49 65 51 40 635
102 6 95 11 40 430
117 67 49 19 44 582
146 48 96 17 44 1075
101 5 94 11 40 565
93 6 86 17 40 580
97 4 91 12 43 697
97 5 90 14 43 541
96 4 91 11 57 479
99 7 91 12 48 386
98 5 91 12 50 554
98 6 91 13 48 464
98 6 91 12 50 600
95 6 87 12 50 701
109 40 68 32 53 486
89 6 82 10 48 531
100 5 94 11 50 454
104 5 98 10 53 567
104 5 97 13 41 1004
172 73 98 11 52 273
98 4 91 13 53 435
100 25 74 11 50 436
99 5 93 13 52 536
93 6 85 11 50 492
103 5 96 13 51 454
93 6 86 12 50 238
95 5 89 10 46 439
97 5 91 12 51 459
99 4 94 12 51 380
80 25 53 26 51 314
98 5 92 10 38 243
92 5 86 28 39 378
96 4 90 11 43 466
55 5 42 13 41 288
142 41 100 9 39 479
98 5 92 10 41 459
108 5 102 12 41 452
82 5 75 11 54 424
97 5 43 10 40 44840
98 5 91 10 54 458
103 5 96 12 50 274
102 3 98 12 41 821
101 4 96 11 53 348
185 4 179 10 44 480
82 14 66 22 38 342
97 5 90 10 39 883
96 5 89 27 38 308
94 5 87 10 40 177
94 5 42 10 45 427
102 5 95 10 38 405
104 6 97 11 50 445
90 5 84 13 53 307
98 6 91 14 49 267
96 28 67 13 42 323
100 6 92 12 54 396
103 6 96 11 54 288
94 26 66 16 46 214
93 6 85 12 49 378
100 7 93 13 49 355
101 6 95 13 49 347
105 5 99 13 42 352
177 5 171 13 53 293
55 6 40 12 41 406
139 4 74 10 37 59619
98 6 90 11 53 368
97 6 90 13 47 502
100 5 94 11 47 470
93 5 41 12 50 28977
101 5 95 12 43 427
79 18 58 23 53 451
89 5 83 11 37 417
66 3 40 14 50 371
133 30 103 10 37 344
97 5 90 12 51 433
91 4 86 11 50 476
57 5 44 11 43 491
139 41 96 10 38 542
95 5 89 11 51 341
96 6 40 11 49 345
97 4 92 11 48 386
101 6 94 12 50 427
93 4 88 11 49 438
101 5 95 12 51 447
93 4 42 12 45 34263
105 5 99 13 52 468
103 37 64 49 52 348
94 5 88 10 37 396
98 4 93 11 53 380
110 5 104 12 49 215
171 4 103 14 53 62631
98 5 92 10 41 317
102 5 96 12 51 346
100 5 94 10 50 260
99 5 93 12 52 520
99 9 89 12 51 284
104 4 99 13 50 290
121 4 115 13 52 486
157 56 99 12 53 410
107 6 100 12 50 319
91 5 85 12 42 358
100 29 70 42 54 326
98 4 92 10 38 344
107 6 100 26 42 321
112 4 107 14 53 298
110 65 44 10 52 234
90 4 85 13 54 347
158 6 150 12 48 586
103 4 98 13 49 271
97 5 90 11 44 589
99 4 93 13 54 448
96 7 88 30 54 468
91 4 85 11 43 526
104 6 97 10 49 432
91 4 85 13 46 286
98 4 40 10 41 660
101 26 74 30 46 487
96 5 89 11 39 353
94 25 68 12 55 229
96 6 89 11 50 413
97 4 92 11 50 455
104 6 96 11 44 574
98 5 92 10 52 506
91 4 86 12 41 362
96 5 89 11 50 705
97 5 90 12 49 591
99 4 94 12 51 547
62 4 42 10 50 473
76 33 41 10 37 468
159 54 104 12 49 437
99 4 93 10 37 469
93 4 88 11 45 408
90 37 49 35 47 300
49 5 43 10 37 193
76 4 71 10 37 458
164 57 106 11 41 282
98 6 91 14 48 264
98 5 91 12 45 253
88 4 44 13 45 28223
107 5 101 11 42 175
94 5 88 12 48 238
95 4 90 13 44 145
100 6 93 12 45 260
97 6 91 13 47 206
90 3 85 30 46 153
52 5 42 9 41 162
147 45 100 9 40 192
101 4 96 9 38 81
98 44 53 26 42 107
91 5 85 14 47 181
100 4 96 9 57 185
98 4 92 9 44 155
97 5 90 14 42 141
91 4 86 14 40 220
58 5 41 11 45 255
141 37 102 9 37 182
93 5 87 9 48 269
97 5 91 10 43 298
101 6 94 13 43 570
98 3 93 12 46 251
96 6 89 11 45 361
97 3 92 9 44 226
99 5 93 12 46 372
100 31 67 26 48 362
95 6 88 10 40 439
99 4 94 11 47 307
96 5 89 13 47 427
92 3 87 9 43 309
114 5 107 12 45 512
84 6 77 10 45 450
105 4 99 11 41 514
94 7 86 14 43 466
95 4 89 11 45 288
93 5 87 11 44 578
97 4 92 12 46 534
98 4 93 11 43 503
94 5 87 12 42 595
97 4 92 10 52 306
97 4 92 11 51 298
105 36 68 23 50 490
99 4 94 13 50 352
100 3 96 11 52 317
115 5 109 11 52 515
164 65 98 9 52 518
97 4 92 11 54 448
101 5 95 11 49 520
93 5 86 12 51 770
98 4 93 12 48 271
114 5 107 12 50 475
84 5 77 11 50 330
93 4 88 11 42 498
291 6 110 250 39 500
50 5 39 9 38 515
151 4 146 9 38 498
63 5 40 11 49 316
132 32 99 9 37 445
105 50 48 56 47 373
48 5 39 9 37 609
139 4 134 9 36 622
102 5 96 9 36 257
93 4 87 11 47 248
103 4 98 9 40 273
95 4 90 10 51 244
99 4 94 11 51 336
96 5 90 11 50 272
92 4 87 11 51 261
104 5 98 10 49 401
97 5 91 11 45 454
91 4 86 9 45 382
104 5 98 11 45 372
98 4 93 11 44 428
100 4 94 11 46 425
106 4 101 11 45 300
176 77 98 41 48 381
97 5 49 11 49 34609
99 5 93 11 44 295
95 4 43 11 46 35922
99 4 94 11 44 192
105 5 98 11 45 331
93 4 89 11 46 416
97 5 91 11 44 359
101 3 97 10 43 355
93 6 86 12 47 307
95 4 90 11 42 235
102 5 96 11 45 233
90 4 84 11 46 273
105 4 99 11 43 463
96 4 91 11 45 259
92 5 86 11 46 592
104 31 71 37 43 445
107 6 99 10 39 289
95 4 90 11 48 516
108 4 103 12 45 287
170 4 165 12 48 622
103 5 97 9 49 608
96 4 91 12 47 272
97 5 91 12 45 630
95 4 91 11 45 256
101 4 96 27 48 280
94 5 87 17 44 602
97 4 92 13 41 291
98 4 92 11 52 434
99 5 93 12 49 515
98 4 92 11 51 459
97 4 92 12 51 418
108 37 70 32 53 445
120 34 85 12 48 324
155 4 150 12 48 514
100 4 95 11 47 355
103 6 95 11 45 184
98 4 94 11 54 314
104 5 97 12 51 405
181 5 174 12 51 646
96 4 40 11 51 32787
62 4 39 10 49 419
