CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1298,680517632000,0,0,2023-03-28 02:56:01 +0000 UTC,18527,true,slam-9055-controller
0,0,0,0,Task has been ended,0,false,
1269,591527936000,0,0,2023-03-28 02:54:03 +0000 UTC,2723,true,slam-9055-controller
1298,616501248000,0,0,2023-03-28 02:54:16 +0000 UTC,13293,true,slam-9055-controller
1299,651145216000,0,0,2023-03-28 02:54:51 +0000 UTC,17383,true,slam-9055-controller
1299,667578368000,0,0,2023-03-28 02:55:27 +0000 UTC,17304,true,slam-9055-controller
1294,671817728000,0,0,2023-03-28 02:55:42 +0000 UTC,15330,true,slam-9055-controller
1298,687161344000,0,0,2023-03-28 02:56:15 +0000 UTC,14905,true,slam-9055-controller
0,0,0,0,Pod Not Found,0,false,
981,583573504000,0,0,2023-03-28 02:54:00 +0000 UTC,10016,true,slam-9055-controller
1295,634593280000,0,0,2023-03-28 02:54:34 +0000 UTC,17705,true,slam-9055-controller
1294,660471808000,0,0,2023-03-28 02:55:09 +0000 UTC,18454,true,slam-9055-controller
