CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
1199,594313216000,0,0,2023-03-28 02:51:28 +0000 UTC,17221,true,slam-9054-k8s-as1
1203,597102592000,0,0,2023-03-28 02:51:38 +0000 UTC,10162,true,slam-9054-k8s-as1
1205,608579584000,0,0,2023-03-28 02:52:08 +0000 UTC,16691,true,slam-9054-k8s-as1
1198,616472576000,0,0,2023-03-28 02:52:24 +0000 UTC,16040,true,slam-9054-k8s-as1
1059,545988608000,0,0,2023-03-28 02:50:30 +0000 UTC,10008,true,slam-9054-k8s-as1
1200,554418176000,0,0,2023-03-28 02:50:36 +0000 UTC,5789,true,slam-9054-k8s-as1
1200,572194816000,0,0,2023-03-28 02:50:54 +0000 UTC,17990,true,slam-9054-k8s-as1
1201,584876032000,0,0,2023-03-28 02:51:11 +0000 UTC,17286,true,slam-9054-k8s-as1
1193,601821184000,0,0,2023-03-28 02:51:51 +0000 UTC,12577,true,slam-9054-k8s-as1
0,0,0,0,Task has been ended,0,false,
