CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
1322,549285888000,0,0,2023-03-27 12:56:19 +0000 UTC,9046,true,slam-9010-k8s-as1
1404,590127104000,0,0,2023-03-27 12:56:50 +0000 UTC,12364,true,slam-9010-k8s-as1
1402,601354240000,0,0,2023-03-27 12:57:07 +0000 UTC,17261,true,slam-9010-k8s-as1
1395,617869312000,0,0,2023-03-27 12:57:37 +0000 UTC,16403,true,slam-9010-k8s-as1
1395,576909312000,0,0,2023-03-27 12:56:38 +0000 UTC,18673,true,slam-9010-k8s-as1
1397,608067584000,0,0,2023-03-27 12:57:20 +0000 UTC,13302,true,slam-9010-k8s-as1
1406,624189440000,0,0,2023-03-27 12:57:48 +0000 UTC,10787,true,slam-9010-k8s-as1
0,0,0,0,Task has been ended,0,false,
