CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
1098,540024832000,0,0,2023-03-27 12:49:01 +0000 UTC,715,true,slam-9007-k8s-as1
1100,558501888000,0,0,2023-03-27 12:49:16 +0000 UTC,15536,true,slam-9007-k8s-as1
1096,567611392000,0,0,2023-03-27 12:49:29 +0000 UTC,12527,true,slam-9007-k8s-as1
1101,604749824000,0,0,2023-03-27 12:50:56 +0000 UTC,18078,true,slam-9007-k8s-as1
1100,613978112000,0,0,2023-03-27 12:51:15 +0000 UTC,18973,true,slam-9007-k8s-as1
0,0,0,0,Task has been ended,0,false,
691,537985024000,0,0,2023-03-27 12:49:00 +0000 UTC,10017,true,slam-9007-k8s-as1
1102,580468736000,0,0,2023-03-27 12:49:47 +0000 UTC,18051,true,slam-9007-k8s-as1
1096,589803520000,0,0,2023-03-27 12:50:03 +0000 UTC,16650,true,slam-9007-k8s-as1
1102,593297408000,0,0,2023-03-27 12:50:19 +0000 UTC,15354,true,slam-9007-k8s-as1
1097,599904256000,0,0,2023-03-27 12:50:38 +0000 UTC,19144,true,slam-9007-k8s-as1
