CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1097,622960640000,0,0,2023-03-27 12:49:46 +0000 UTC,18271,true,slam-9007-controller
1093,680251392000,0,0,2023-03-27 12:51:33 +0000 UTC,15464,true,slam-9007-controller
1099,687734784000,0,0,2023-03-27 12:51:49 +0000 UTC,15740,true,slam-9007-controller
1099,693293056000,0,0,2023-03-27 12:52:01 +0000 UTC,11734,true,slam-9007-controller
725,415870976000,0,0,2023-03-27 12:49:20 +0000 UTC,10006,true,slam-9007-controller
1100,639287296000,0,0,2023-03-27 12:50:04 +0000 UTC,18256,true,slam-9007-controller
1095,664920064000,0,0,2023-03-27 12:50:51 +0000 UTC,15116,true,slam-9007-controller
1101,669048832000,0,0,2023-03-27 12:51:02 +0000 UTC,11068,true,slam-9007-controller
1099,672538624000,0,0,2023-03-27 12:51:18 +0000 UTC,15287,true,slam-9007-controller
0,0,0,0,Pod Not Found,0,false,
1098,660037632000,0,0,2023-03-27 12:50:36 +0000 UTC,15740,true,slam-9007-controller
1088,597733376000,0,0,2023-03-27 12:49:27 +0000 UTC,7497,true,slam-9007-controller
1097,653090816000,0,0,2023-03-27 12:50:21 +0000 UTC,16662,true,slam-9007-controller
0,0,0,0,Task has been ended,0,false,
