CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1198,679018496000,0,0,2023-03-27 12:54:32 +0000 UTC,18529,true,slam-9008-controller
1199,684580864000,0,0,2023-03-27 12:54:43 +0000 UTC,10951,true,slam-9008-controller
672,389857280000,0,0,2023-03-27 12:52:30 +0000 UTC,10000,true,slam-9008-controller
1173,599232512000,0,0,2023-03-27 12:52:37 +0000 UTC,7002,true,slam-9008-controller
1199,654823424000,0,0,2023-03-27 12:53:29 +0000 UTC,19266,true,slam-9008-controller
1200,663425024000,0,0,2023-03-27 12:53:49 +0000 UTC,19506,true,slam-9008-controller
1192,666587136000,0,0,2023-03-27 12:54:00 +0000 UTC,10933,true,slam-9008-controller
1203,671010816000,0,0,2023-03-27 12:54:14 +0000 UTC,14099,true,slam-9008-controller
1201,659714048000,0,0,2023-03-27 12:54:57 +0000 UTC,13430,true,slam-9008-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1194,625688576000,0,0,2023-03-27 12:52:56 +0000 UTC,19541,true,slam-9008-controller
1198,638947328000,0,0,2023-03-27 12:53:10 +0000 UTC,13573,true,slam-9008-controller
