CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1902,669495296000,0,0,2023-03-27 13:10:52 +0000 UTC,15762,true,slam-9015-controller
1894,678412288000,0,0,2023-03-27 13:11:09 +0000 UTC,17048,true,slam-9015-controller
0,0,0,0,Pod Not Found,0,false,
1116,593715200000,0,0,2023-03-27 13:10:00 +0000 UTC,9998,true,slam-9015-controller
1914,612782080000,0,0,2023-03-27 13:10:05 +0000 UTC,5303,true,slam-9015-controller
1894,642555904000,0,0,2023-03-27 13:10:23 +0000 UTC,17825,true,slam-9015-controller
1900,659030016000,0,0,2023-03-27 13:10:36 +0000 UTC,13003,true,slam-9015-controller
1896,695660544000,0,0,2023-03-27 13:11:29 +0000 UTC,19779,true,slam-9015-controller
0,0,0,0,Task has been ended,0,false,
