CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
1496,653148160000,0,0,2023-03-27 13:01:43 +0000 UTC,18515,true,slam-9011-controller
1497,660176896000,0,0,2023-03-27 13:01:59 +0000 UTC,15602,true,slam-9011-controller
1499,669405184000,0,0,2023-03-27 13:02:18 +0000 UTC,19757,true,slam-9011-controller
1498,674983936000,0,0,2023-03-27 13:02:34 +0000 UTC,16004,true,slam-9011-controller
0,0,0,0,Task has been ended,0,false,
651,389423104000,0,0,2023-03-27 13:00:50 +0000 UTC,9989,true,slam-9011-controller
1280,586772480000,0,0,2023-03-27 13:00:52 +0000 UTC,2558,true,slam-9011-controller
1497,626827264000,0,0,2023-03-27 13:01:12 +0000 UTC,19955,true,slam-9011-controller
1497,637882368000,0,0,2023-03-27 13:01:24 +0000 UTC,12132,true,slam-9011-controller
1500,683110400000,0,0,2023-03-27 13:02:48 +0000 UTC,13170,true,slam-9011-controller
