CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
999,311963648000,0,0,2023-03-29 14:50:43 +0000 UTC,2686,true,slam-20266-controller
2185,627961856000,0,0,2023-03-29 14:51:11 +0000 UTC,11073,true,slam-20266-controller
2180,646991872000,0,0,2023-03-29 14:51:30 +0000 UTC,19205,true,slam-20266-controller
2195,666341376000,0,0,2023-03-29 14:52:11 +0000 UTC,15945,true,slam-20266-controller
0,0,0,0,Pod Not Found,0,false,
2188,656248832000,0,0,2023-03-29 14:51:44 +0000 UTC,14161,true,slam-20266-controller
2181,659316736000,0,0,2023-03-29 14:51:55 +0000 UTC,11282,true,slam-20266-controller
2195,672976896000,0,0,2023-03-29 14:52:25 +0000 UTC,14059,true,slam-20266-controller
2183,686768128000,0,0,2023-03-29 14:52:44 +0000 UTC,18909,true,slam-20266-controller
0,0,0,0,Task has been ended,0,false,
1933,614809600000,0,0,2023-03-29 14:51:00 +0000 UTC,17063,true,slam-20266-controller
