CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
995,628391936000,0,0,2023-03-29 13:50:02 +0000 UTC,13129,true,slam-20061-k8s-as1
0,0,0,0,Task has been ended,0,false,
662,437309440000,0,0,2023-03-29 13:48:00 +0000 UTC,9977,true,slam-20061-k8s-as1
992,540864512000,0,0,2023-03-29 13:48:03 +0000 UTC,2719,true,slam-20061-k8s-as1
999,590249984000,0,0,2023-03-29 13:48:43 +0000 UTC,12048,true,slam-20061-k8s-as1
998,605126656000,0,0,2023-03-29 13:49:16 +0000 UTC,18771,true,slam-20061-k8s-as1
993,612089856000,0,0,2023-03-29 13:49:35 +0000 UTC,19232,true,slam-20061-k8s-as1
0,0,0,0,Pod Not Found,0,false,
996,563822592000,0,0,2023-03-29 13:48:15 +0000 UTC,12704,true,slam-20061-k8s-as1
993,579936256000,0,0,2023-03-29 13:48:31 +0000 UTC,15836,true,slam-20061-k8s-as1
995,599425024000,0,0,2023-03-29 13:48:57 +0000 UTC,13719,true,slam-20061-k8s-as1
996,619094016000,0,0,2023-03-29 13:49:49 +0000 UTC,14098,true,slam-20061-k8s-as1
