CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1398,588836864000,0,0,2023-03-29 14:01:23 +0000 UTC,11746,true,slam-20101-k8s-as1
1398,609067008000,0,0,2023-03-29 14:01:56 +0000 UTC,10927,true,slam-20101-k8s-as1
1389,630697984000,0,0,2023-03-29 14:02:21 +0000 UTC,10109,true,slam-20101-k8s-as1
1390,601866240000,0,0,2023-03-29 14:01:45 +0000 UTC,10281,true,slam-20101-k8s-as1
1395,619618304000,0,0,2023-03-29 14:02:11 +0000 UTC,15670,true,slam-20101-k8s-as1
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1127,541655040000,0,0,2023-03-29 14:00:57 +0000 UTC,7279,true,slam-20101-k8s-as1
1389,573091840000,0,0,2023-03-29 14:01:11 +0000 UTC,14273,true,slam-20101-k8s-as1
1399,598118400000,0,0,2023-03-29 14:01:34 +0000 UTC,11334,true,slam-20101-k8s-as1
