CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1990,633245696000,0,0,2023-03-29 14:43:47 +0000 UTC,18933,true,slam-20243-controller
1985,657162240000,0,0,2023-03-29 14:44:27 +0000 UTC,16353,true,slam-20243-controller
1975,667267072000,0,0,2023-03-29 14:44:57 +0000 UTC,14818,true,slam-20243-controller
1990,672792576000,0,0,2023-03-29 14:45:08 +0000 UTC,11178,true,slam-20243-controller
1985,682721280000,0,0,2023-03-29 14:45:25 +0000 UTC,17127,true,slam-20243-controller
0,0,0,0,Pod Not Found,0,false,
1443,588967936000,0,0,2023-03-29 14:43:16 +0000 UTC,5890,true,slam-20243-controller
1990,616042496000,0,0,2023-03-29 14:43:28 +0000 UTC,12238,true,slam-20243-controller
0,0,0,0,Task has been ended,0,false,
1992,664018944000,0,0,2023-03-29 14:44:42 +0000 UTC,14522,true,slam-20243-controller
609,335646720000,0,0,2023-03-29 14:43:10 +0000 UTC,10013,true,slam-20243-controller
1996,643575808000,0,0,2023-03-29 14:44:00 +0000 UTC,13545,true,slam-20243-controller
1973,650842112000,0,0,2023-03-29 14:44:11 +0000 UTC,10633,true,slam-20243-controller
