CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
2071,666955776000,0,0,2023-03-29 14:48:34 +0000 UTC,18024,true,slam-20250-controller
0,0,0,0,Pod Not Found,0,false,
459,176918528000,0,0,2023-03-29 14:46:56 +0000 UTC,5647,true,slam-20250-controller
2072,634855424000,0,0,2023-03-29 14:47:37 +0000 UTC,11819,true,slam-20250-controller
2059,646270976000,0,0,2023-03-29 14:47:51 +0000 UTC,13940,true,slam-20250-controller
2076,671682560000,0,0,2023-03-29 14:48:51 +0000 UTC,16585,true,slam-20250-controller
2088,681897984000,0,0,2023-03-29 14:49:09 +0000 UTC,18757,true,slam-20250-controller
0,0,0,0,Task has been ended,0,false,
1594,607395840000,0,0,2023-03-29 14:47:10 +0000 UTC,14387,true,slam-20250-controller
2078,624697344000,0,0,2023-03-29 14:47:25 +0000 UTC,15568,true,slam-20250-controller
2060,654442496000,0,0,2023-03-29 14:48:05 +0000 UTC,13838,true,slam-20250-controller
2078,659628032000,0,0,2023-03-29 14:48:16 +0000 UTC,11070,true,slam-20250-controller
