CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1580,673017856000,0,0,2023-03-29 14:27:58 +0000 UTC,12881,true,slam-20183-controller
1577,676208640000,0,0,2023-03-29 14:28:13 +0000 UTC,15216,true,slam-20183-controller
973,298795008000,0,0,2023-03-29 14:25:16 +0000 UTC,5752,true,slam-20183-controller
1569,668561408000,0,0,2023-03-29 14:27:45 +0000 UTC,16415,true,slam-20183-controller
1584,681029632000,0,0,2023-03-29 14:28:23 +0000 UTC,10045,true,slam-20183-controller
1596,655413248000,0,0,2023-03-29 14:28:49 +0000 UTC,11656,true,slam-20183-controller
0,0,0,0,Task has been ended,0,false,
1591,618045440000,0,0,2023-03-29 14:25:46 +0000 UTC,17668,true,slam-20183-controller
1572,659369984000,0,0,2023-03-29 14:27:09 +0000 UTC,18808,true,slam-20183-controller
1580,638361600000,0,0,2023-03-29 14:26:19 +0000 UTC,18775,true,slam-20183-controller
1574,655425536000,0,0,2023-03-29 14:26:50 +0000 UTC,14682,true,slam-20183-controller
1580,628305920000,0,0,2023-03-29 14:26:01 +0000 UTC,15017,true,slam-20183-controller
1578,647585792000,0,0,2023-03-29 14:26:35 +0000 UTC,15746,true,slam-20183-controller
1579,665001984000,0,0,2023-03-29 14:27:29 +0000 UTC,19986,true,slam-20183-controller
1576,652865536000,0,0,2023-03-29 14:28:37 +0000 UTC,13913,true,slam-20183-controller
0,0,0,0,Pod Not Found,0,false,
1354,601628672000,0,0,2023-03-29 14:25:28 +0000 UTC,12263,true,slam-20183-controller
