1828 30 190 31 1794
316 39 275 32 66
274 68 204 16 52
301 91 208 18 42
297 89 202 17 40
194 18 167 20 40
395 98 290 45 49
297 93 197 19 42
296 94 195 21 65
200 15 183 19 45
390 93 200 22 71
297 28 267 29 73
303 19 276 19 42
198 17 175 18 41
296 12 277 65 72
298 97 199 22 74
392 92 298 18 50
203 32 163 25 80
292 16 274 19 54
303 18 278 20 52
193 18 85 21 53
396 18 377 19 54
305 18 285 20 42
291 18 272 20 53
396 16 378 18 42
197 24 171 23 72
298 15 282 17 51
298 13 283 18 51
205 16 187 18 53
300 16 282 18 41
294 88 198 17 52
295 16 277 18 53
398 16 381 18 42
200 18 180 21 53
292 95 101 22 67
306 18 284 20 53
192 18 173 20 50
200 31 167 32 70
302 94 207 17 53
393 88 304 17 54
297 18 272 20 53
302 18 283 20 50
196 19 175 21 41
395 91 302 19 42
299 93 198 20 38
291 28 262 29 78
298 17 279 17 39
205 17 186 17 39
300 93 205 15 42
295 91 202 15 44
398 96 301 28 71
196 99 94 23 80
300 103 195 24 80
389 99 289 16 41
117 33 70 36 77
383 84 298 14 38
298 92 199 22 42
298 24 273 23 48
291 93 197 19 42
303 19 282 21 42
291 92 107 20 49
201 20 179 22 49
299 95 197 26 62
292 92 198 22 47
198 36 161 31 80
401 24 375 27 80
297 26 270 30 55
395 94 300 28 99
102 31 69 32 67
494 92 400 16 36
204 23 179 26 72
197 17 178 20 52
296 17 272 19 40
299 92 198 19 40
195 23 166 31 76
394 92 301 37 69
195 19 175 20 41
200 24 175 26 79
200 17 177 35 42
395 92 301 17 41
196 18 177 19 41
294 16 276 19 42
204 24 178 23 81
194 22 164 27 84
288 89 198 18 53
298 27 179 30 76
298 17 279 17 42
200 17 181 20 42
198 16 180 19 48
396 91 303 18 46
201 93 107 20 47
197 90 106 17 40
295 17 277 18 42
293 88 272 20 41
201 20 178 23 43
302 91 209 21 41
293 16 275 18 54
293 17 274 18 55
398 18 284 20 76
202 29 166 26 74
197 29 162 33 71
306 92 212 19 53
190 90 98 16 53
392 93 297 24 73
398 17 285 18 41
203 17 183 19 42
299 94 197 16 41
198 95 101 33 73
297 103 186 13 53
290 14 274 20 41
297 21 275 23 42
206 15 189 18 42
295 89 199 18 42
298 93 204 18 50
397 92 299 29 43
