fusion_node_name,gpu_limit,cpu_limit,max_cpu_usage,avg_latency
as1,16,1000,998,122.30387931034483
as1,16,1100,1220,112.95258620689656
as1,16,1200,1200,117.5
as1,16,1300,1305,99.47413793103448
as1,16,1400,1381,96.22844827586206
as1,16,1500,1379,113.15948275862068
as1,16,1600,1402,115.41594827586206
as1,16,1700,1400,117.15948275862068
as1,16,1800,1455,116.69827586206897
as1,16,1900,1506,119.4978448275862
as1,16,2000,1653,118.91163793103448
as1,16,2100,1504,117.35560344827586
as1,16,2200,1581,118.98706896551724
as1,16,2300,1539,116.74568965517241
as1,16,2400,1501,117.70905172413794
as1,16,2500,1889,118.16810344827586
as1,16,2600,1418,117.39655172413794
as1,16,2700,1426,116.63793103448276
as1,16,2800,1533,118.23060344827586
as1,16,2900,1378,123.31681034482759
as1,16,3000,1451,122.14439655172414
as1,20,1000,999,122.92672413793103
as1,20,1100,1101,112.80818965517241
as1,20,1200,1192,104.30603448275862
as1,20,1300,1294,99.72844827586206
as1,20,1400,1357,103.6896551724138
as1,20,1500,1446,95.83620689655173
as1,20,1600,1540,88.83620689655173
as1,20,1700,1604,96.90948275862068
as1,20,1800,1472,96.44827586206897
as1,20,1900,1475,103.08620689655173
as1,20,2000,1559,100.28017241379311
as1,20,2100,1568,99.64008620689656
as1,20,2200,1455,100.39655172413794
as1,20,2300,1729,92.4396551724138
as1,20,2400,1972,97.20689655172414
as1,20,2500,1756,99.09482758620689
as1,20,2600,1726,100.4353448275862
as1,20,2700,1886,93.97198275862068
as1,20,2800,1715,91.67456896551724
as1,20,2900,1653,100.64439655172414
as1,20,3000,1672,96.2521551724138
as1,25,1000,999,123.77155172413794
as1,25,1100,1098,113.45043103448276
as1,25,1200,1198,105.01293103448276
as1,25,1300,1290,100.29310344827586
as1,25,1400,1386,96.86422413793103
as1,25,1500,1471,89.97629310344827
as1,25,1600,1550,84.96120689655173
as1,25,1700,1649,81.58620689655173
as1,25,1800,1680,84.69181034482759
as1,25,1900,1783,74.03232758620689
as1,25,2000,1786,80.49568965517241
as1,25,2100,1953,78.5
as1,25,2200,1950,75.40301724137932
as1,25,2300,2112,79.65086206896552
as1,25,2400,1893,79.21120689655173
as1,25,2500,1891,80.02370689655173
as1,25,2600,1899,79.77586206896552
as1,25,2700,1940,78.85775862068965
as1,25,2800,1803,83.03448275862068
as1,25,2900,1998,74.39439655172414
as1,25,3000,1909,79.88577586206897
as1,33,1000,1000,125.11206896551724
as1,33,1100,1088,111.94612068965517
as1,33,1200,1191,104.41594827586206
as1,33,1300,1296,98.88362068965517
as1,33,1400,1392,95.5603448275862
as1,33,1500,1473,90.32543103448276
as1,33,1600,1591,85.51508620689656
as1,33,1700,1554,82.55818965517241
as1,33,1800,1743,79.57974137931035
as1,33,1900,1971,74.96120689655173
as1,33,2000,1842,74.34698275862068
as1,33,2100,1909,71.76077586206897
as1,33,2200,2045,69.09267241379311
as1,33,2300,2051,68.38577586206897
as1,33,2400,2049,68.72844827586206
as1,33,2500,2271,66.31681034482759
as1,33,2600,2255,66.33620689655173
as1,33,2700,2045,67.43318965517241
as1,33,2800,2349,66.86206896551724
as1,33,2900,2150,66.81681034482759
as1,33,3000,2168,66.90517241379311
as1,50,1000,1000,126.21982758620689
as1,50,1100,1095,113.23491379310344
as1,50,1200,1192,106.32758620689656
as1,50,1300,1300,101.08189655172414
as1,50,1400,1392,95.10129310344827
as1,50,1500,1489,90.70043103448276
as1,50,1600,1583,84.97629310344827
as1,50,1700,1671,82.02155172413794
as1,50,1800,1629,78.66379310344827
as1,50,1900,1795,74.96767241379311
as1,50,2000,1877,73.16379310344827
as1,50,2100,1940,71.8125
as1,50,2200,1988,69.45474137931035
as1,50,2300,2113,69.03663793103448
as1,50,2400,2165,67.52586206896552
as1,50,2500,2104,67.21982758620689
as1,50,2600,2148,67.70258620689656
as1,50,2700,1991,65.95689655172414
as1,50,2800,2095,67.74353448275862
as1,50,2900,1654,81.40732758620689
as1,50,3000,2190,65.40948275862068
as1,100,1000,1000,123.48922413793103
as1,100,1100,1094,111.29094827586206
as1,100,1200,1185,107.19827586206897
as1,100,1300,1298,100.7521551724138
as1,100,1400,1392,96.05387931034483
as1,100,1500,1470,90.3146551724138
as1,100,1600,1402,85.69612068965517
as1,100,1700,1695,81.71120689655173
as1,100,1800,1747,77.69181034482759
as1,100,1900,1835,75.58405172413794
as1,100,2000,1894,73.54956896551724
as1,100,2100,1994,71.0021551724138
as1,100,2200,2043,70.57758620689656
as1,100,2300,2194,67.71767241379311
as1,100,2400,2198,66.54094827586206
as1,100,2500,1955,66.72844827586206
as1,100,2600,2293,66.07974137931035
as1,100,2700,2057,66.18103448275862
as1,100,2800,2223,67.17241379310344
as1,100,2900,2270,66.23060344827586
as1,100,3000,2227,66.40948275862068
